model,median_km,mean_km,p75_km,p90_km,rmse_dlat,rmse_dlon,r2_dlat,r2_dlon
SECE Ensemble,4.4,5.527,8.147,10.973,0.04639,0.04914,0.91141,0.9682
Stacking Ensemble,4.643,5.482,8.021,10.976,0.0464,0.04769,0.92989,0.97543
Random Forest,4.83,5.645,8.278,11.086,0.04823,0.05268,0.92425,0.97002
LightGBM,5.806,6.662,8.817,12.024,0.05288,0.05444,0.90892,0.96798
CB+MotionNN,5.909,6.754,8.794,11.922,0.05366,0.05996,0.88146,0.95266
XGBoost,6.058,7.02,9.235,12.641,0.05547,0.05978,0.89978,0.96139
HistGradientBoosting,6.296,7.206,9.372,12.727,0.05721,0.05881,0.89341,0.96263
Gradient Boosting,6.481,7.448,9.641,13.318,0.0592,0.06094,0.88585,0.95988
Persistence Residual Cascade,7.769,8.754,11.043,15.772,0.06537,0.07923,0.86082,0.93218
CatBoost,8.052,9.101,11.424,15.942,0.06907,0.07934,0.84463,0.93198
Persistence Baseline,11.119,11.813,15.327,22.239,0.09223,0.10809,0.72299,0.87377
CNN,11.168,13.822,17.457,25.62,0.1092,0.12503,0.50941,0.79427
CNN-GRU,11.353,13.657,17.467,24.443,0.10072,0.12225,0.58262,0.80332
CNN-LSTM,11.625,13.743,17.484,25.152,0.10353,0.12112,0.55903,0.80693
BLSTM,12.564,14.972,18.84,26.81,0.1123,0.13149,0.48113,0.77247
LSTM,12.826,15.197,19.348,27.702,0.11182,0.13706,0.48556,0.75278
GRU-LSTM,12.927,15.524,19.686,28.996,0.11159,0.14089,0.48764,0.73877
GRU,13.14,15.635,19.626,27.838,0.11101,0.14753,0.49294,0.71356
Hybrid Transformer,13.888,17.392,21.923,32.532,0.12279,0.16466,0.37963,0.64321
SLSTM,14.237,17.099,21.485,32.056,0.11898,0.15851,0.41757,0.66933
Linear (SGD),9894.1,9886.222,12628.688,15087.764,314050789963.51514,301069108206.5908,-3.2118568145539336e+24,-9.793609915689861e+23
Ridge (SGD),9900.479,9953.793,12608.767,15190.939,303027351132.30945,313390728186.883,-2.990336451320075e+24,-1.0611644605228032e+24
Lasso (SGD),9968.518,10020.838,12813.381,15220.34,319127776474.3826,319468871178.4117,-3.316542815654804e+24,-1.1027257194647744e+24
