horizon,model,median_km,mean_km,p75_km,p90_km,rmse_dlat,rmse_dlon,r2_dlat,r2_dlon
12h,Persistence Baseline,106.789,118.673,158.015,215.607,0.62933,1.12695,-0.21342,-0.11158
12h,Linear (SGD),10031.125,9981.665,12602.485,15045.074,212344690122.19955,381095360103.0927,-1.3814557583252132e+23,-1.2711613214505042e+23
12h,Ridge (SGD),9902.712,9940.384,12568.322,15020.202,384298875506.5186,242530761797.8521,-4.5247271689977494e+23,-5.148337497790254e+22
12h,Lasso (SGD),10027.554,10038.685,12663.686,15124.693,297525066438.6997,415220446727.3191,-2.712072478869691e+23,-1.5090054563428049e+23
12h,Random Forest,30.179,40.248,51.694,81.731,0.27905,0.41372,0.76142,0.85019
12h,Gradient Boosting,31.7,41.989,53.779,84.78,0.2921,0.42766,0.73859,0.83992
12h,HistGradientBoosting,31.16,41.194,53.068,83.126,0.28657,0.41882,0.7484,0.84647
12h,XGBoost,31.273,41.208,52.595,83.201,0.28348,0.42732,0.7538,0.84018
12h,LightGBM,30.801,40.599,52.252,81.968,0.2819,0.41431,0.75653,0.84976
12h,CatBoost,35.808,46.641,60.088,94.859,0.3187,0.46806,0.68882,0.80825
12h,Stacking Ensemble,29.877,39.502,50.178,79.929,0.27372,0.41704,0.77045,0.84778
12h,LSTM,52.334,63.093,81.058,120.884,0.43183,0.59782,0.42913,0.68736
12h,GRU,49.905,62.68,79.897,118.169,0.41039,0.62726,0.48439,0.6558
12h,BLSTM,48.572,60.505,76.394,115.206,0.42423,0.58206,0.44902,0.70361
12h,SLSTM,53.842,67.293,85.876,129.889,0.44275,0.64799,0.39989,0.63267
12h,CNN,45.769,57.686,73.249,109.481,0.40814,0.57004,0.49005,0.71573
12h,CNN-GRU,44.773,56.236,71.744,107.107,0.38121,0.55137,0.55511,0.73405
12h,CNN-LSTM,45.95,56.751,73.729,108.878,0.39665,0.53931,0.51833,0.74555
12h,GRU-LSTM,51.942,63.362,81.6,118.74,0.43011,0.60292,0.43366,0.68199
12h,Hybrid Transformer,56.552,70.934,92.008,137.836,0.46652,0.69147,0.33371,0.58172
12h,CB+MotionNN,31.11,41.581,53.742,83.625,0.28409,0.43439,0.75273,0.83484
12h,SECE Ensemble,30.004,39.336,50.285,79.975,0.27138,0.40238,0.77436,0.85829
12h,Persistence Residual Cascade,30.904,40.786,52.473,82.874,0.28326,0.41928,0.75418,0.84613
24h,Persistence Baseline,248.15,274.016,356.021,479.006,1.41122,2.54944,-0.75805,-0.49816
24h,Linear (SGD),9888.668,9920.955,12573.262,15101.415,318062898777.785,440856479582.10266,-8.930345404061534e+22,-4.479853973333146e+22
24h,Ridge (SGD),9924.796,9956.977,12560.654,15242.611,290827935866.495,189030273480.6012,-7.46645536295803e+22,-8.236299421392006e+21
24h,Lasso (SGD),10190.668,10167.859,12878.809,15429.885,453542324785.1296,227161772217.27432,-1.8158412387142154e+23,-1.1894327646954572e+22
24h,Random Forest,91.959,113.507,145.769,222.145,0.70011,1.14729,0.56731,0.6966
24h,Gradient Boosting,89.039,114.17,149.811,222.296,0.70071,1.15109,0.56657,0.69459
24h,HistGradientBoosting,89.311,113.699,149.635,219.096,0.69909,1.14517,0.56857,0.69772
24h,XGBoost,88.391,112.805,147.413,219.439,0.69263,1.14443,0.57651,0.69811
24h,LightGBM,88.117,113.219,148.648,220.324,0.69561,1.15048,0.57285,0.69491
24h,CatBoost,95.895,119.892,158.226,237.744,0.73376,1.20213,0.52471,0.6669
24h,Stacking Ensemble,88.277,112.382,146.753,215.9,0.69343,1.14014,0.57553,0.70037
24h,LSTM,114.827,138.446,181.725,265.623,0.87187,1.33268,0.32949,0.59084
24h,GRU,110.402,136.968,175.773,266.057,0.83089,1.37936,0.39104,0.56167
24h,BLSTM,112.985,138.347,178.41,265.029,0.89807,1.35494,0.28858,0.57706
24h,SLSTM,117.997,143.633,187.679,276.201,0.88238,1.39019,0.31323,0.55476
24h,CNN,108.535,135.5,174.562,254.68,0.85027,1.36747,0.36229,0.5692
24h,CNN-GRU,102.165,126.482,159.778,244.277,0.7811,1.26619,0.46183,0.63065
24h,CNN-LSTM,106.551,130.209,168.265,249.015,0.82181,1.26444,0.40427,0.63167
24h,GRU-LSTM,116.148,140.119,182.639,265.41,0.87629,1.35583,0.32267,0.5765
24h,Hybrid Transformer,124.22,150.066,194.343,282.883,0.90553,1.46789,0.27671,0.50361
24h,CB+MotionNN,95.746,120.445,154.179,232.567,0.70845,1.25016,0.55694,0.63975
24h,SECE Ensemble,86.443,109.345,140.851,211.283,0.69304,1.08712,0.57601,0.72759
24h,Persistence Residual Cascade,88.699,113.125,149.935,218.835,0.69738,1.14638,0.57068,0.69708
48h,Persistence Baseline,534.841,581.501,743.537,990.716,2.99219,5.28033,-1.30862,-0.65438
48h,Linear (SGD),10039.888,10019.269,12797.591,15347.624,406915073394.43506,223338887713.95486,-4.269548132353565e+22,-2.9596700176784116e+21
48h,Ridge (SGD),10013.773,10000.023,12787.9,15298.175,365363702596.17847,187033295844.20407,-3.4421132723153646e+22,-2.0756419957378345e+21
48h,Lasso (SGD),10038.238,10016.13,12727.3,15162.282,246203032173.48892,401642442405.1544,-1.5630078274545341e+22,-9.571803930792334e+21
48h,Random Forest,234.812,278.068,364.578,522.992,1.58406,2.77048,0.35298,0.54457
48h,Gradient Boosting,232.283,273.162,354.761,520.893,1.5198,2.7158,0.40441,0.56237
48h,HistGradientBoosting,230.462,270.861,353.622,512.655,1.52921,2.67567,0.39701,0.57521
48h,XGBoost,227.186,271.64,353.558,517.636,1.51227,2.71483,0.4103,0.56268
48h,LightGBM,227.941,272.18,354.592,514.629,1.51858,2.71002,0.40537,0.56423
48h,CatBoost,239.237,281.175,371.977,522.541,1.54886,2.80687,0.38142,0.53253
48h,Stacking Ensemble,234.705,275.686,358.279,519.178,1.52782,2.74271,0.39811,0.55365
48h,LSTM,257.66,308.954,411.984,581.993,1.77229,3.0301,0.19074,0.45553
48h,GRU,248.429,298.936,384.404,566.764,1.67382,3.0183,0.27816,0.45976
48h,BLSTM,265.08,319.027,413.038,606.914,1.85109,3.17978,0.11717,0.4004
48h,SLSTM,275.264,320.707,422.228,595.622,1.79683,3.10122,0.16816,0.42967
48h,CNN,258.762,305.852,401.919,573.077,1.72436,3.05982,0.23391,0.44479
48h,CNN-GRU,238.576,285.42,371.397,538.721,1.60099,2.88555,0.33961,0.50624
48h,CNN-LSTM,246.466,295.975,383.311,563.628,1.67398,2.95272,0.27802,0.48298
48h,GRU-LSTM,263.118,310.866,403.275,573.212,1.75032,3.07864,0.21067,0.43794
48h,Hybrid Transformer,270.412,318.095,416.251,607.435,1.72117,3.19179,0.23675,0.39587
48h,CB+MotionNN,234.062,278.095,362.053,513.809,1.55234,2.80282,0.37863,0.53387
48h,SECE Ensemble,228.879,273.355,354.942,515.018,1.5958,2.67215,0.34335,0.57632
48h,Persistence Residual Cascade,227.64,271.473,355.062,514.16,1.51706,2.706,0.40655,0.56552
